Proteome Id	Organism Id
UP000295030	100
UP000005019	1000565
UP000569329	1000566
UP000004137	1000569
UP000003858	1000588
UP000029864	1001240
UP000561726	1001240
UP000012042	1001583
UP000001338	1001589
UP000012128	1001590
UP000015442	1001595
UP000011778	1001598
UP000011776	1001599
UP000012089	1001601
UP000291078	1001822
UP000004440	1001994
UP000001973	100226
UP000031201	1002340
UP000005959	1002364
UP000004407	1002367
UP000003044	1002368
UP000242815	1002526
UP000009181	1002672
UP001059380	1002689
UP000008387	1002804
UP000006691	1002809
UP000254134	1002870
UP000199513	1003
UP000053246	1003110
UP000030428	1003181
UP000076962	1003181
UP000007842	1003195
UP000004853	1003200
UP000018435	1003237
UP000637695	1003997
UP000183788	1004
UP000481739	1004150
UP000018957	1004151
UP000189681	1004156
UP000624041	1004261
UP000198894	1004279
UP000249720	1004304
UP000280444	100469
UP000239814	1004901
UP000008845	1004952
UP000727962	1005039
UP000004116	1005043
UP000008392	1005048
UP000006139	1005057
UP000006908	1005058
UP000001269	1005090
UP000010448	1005395
UP000198975	1005665
UP000198515	1005667
UP000003695	1005704
UP000010138	1005705
UP000295066	1005740
UP000184031	1005926
UP000266047	1005926
UP000198599	1005928
UP000199004	1005944
UP000198649	1005945
UP000028630	1005994
UP000028602	1005995
UP000028653	1006004
UP000007812	1006006
UP000001283	1006007
UP000223060	1006155
UP000564536	1006155
UP000007843	1006551
UP000015603	1006554
UP000032809	1006576
UP000018735	1006581
UP000235861	1006623
UP000243778	1007099
UP000249198	1007099
UP000008737	1007105
UP000325933	1007511
UP000036106	1007676
UP000075321	1008153
UP000094570	1008305
UP000003815	1008452
UP000004568	1008453
UP000009284	1008459
UP000003157	100884
UP000007516	100901
UP000003240	1009370
UP000593654	1009682
UP000032866	1009846
UP000019087	1009856
UP000215355	1010
UP000321750	1010610
UP000316030	1010611
UP000222818	1010676
UP000735456	1010796
UP001183362	1010802
UP000486602	101383
UP000255515	1015
UP000270205	1015
UP000008710	101510
UP000182413	101564
UP000060630	101571
